Geschlecht;Altersgruppe <1;Altersgruppe 1-15;Altersgruppe 15-20;Altersgruppe 20-25;Altersgruppe 25-30;Altersgruppe 30-35;Altersgruppe 35-40;Altersgruppe 40-45;Altersgruppe 45-50;Altersgruppe 50-55;Altersgruppe 55-60;Altersgruppe 60-65;Altersgruppe 65-70;Altersgruppe 70-75;Altersgruppe 75-80;Altersgruppe 80-85;Altersgruppe 85<;Krankheit_1;Krankheit_2;Krankheit_3;Krankheit_4;Krankheit_5;Krankheit_6;Krankheit_7;Krankheit_8;Krankheit_9;Krankheit_10;Krankheit_11;Krankheit_12;Krankheit_13;Krankheit_14;Krankheit_15;Krankheit_16;Krankheit_17;Krankheit_18;Krankheit_19;Krankheit_20;Krankheit_21;Krankheit_22;Krankheit_23;Krankheit_24;Krankheit_25;Krankheit_26;Krankheit_27;Krankheit_28;Krankheit_29;Krankheit_30;Krankheit_31;Krankheit_32;Krankheit_33;Krankheit_34;Krankheit_35;Krankheit_36;Krankheit_37;Krankheit_38;Krankheit_39;Krankheit_40;Krankheit_41;Krankheit_42;Krankheit_43;Krankheit_44;Krankheit_45;Krankheit_46;Krankheit_47;Krankheit_48;Krankheit_49;Krankheit_50;Krankheit_51;Krankheit_52;Krankheit_53;Krankheit_54;Krankheit_55;Krankheit_56;Krankheit_57;Krankheit_58;Krankheit_59;Krankheit_60;Krankheit_61;Krankheit_62;Krankheit_63;Krankheit_64;Krankheit_65;Krankheit_66;Krankheit_67;Krankheit_68;Krankheit_69;Krankheit_70;Krankheit_71;Krankheit_72;Krankheit_73;Krankheit_74;Krankheit_75;Krankheit_76;Krankheit_77;Krankheit_78;Krankheit_79;Krankheit_80;Krankheit_81;Wahrscheinlichkeiten
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000652706
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.107142857
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.51444E-05
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.68463E-06
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
